exposure,source_algorithm,target_algorithm,method,method_role,scope_type,scope_level,n,mean_error_pred_minus_target,median_error_pred_minus_target,error_sd,error_p05,error_p95,mae,rmse,absolute_error_p50,absolute_error_p90,absolute_error_p95,target_iqr,mae_per_target_iqr,note
daily_steps,scrf,vsrev,isotonic,headline,age_group,20-39,2757,-372.9390187467458,-285.73558947772835,1825.2284985181495,-3315.5381041476503,2415.676996067899,1343.935704506545,1862.6148876456796,1011.415646258507,2819.163579277863,3663.796432181261,6301.767857142858,0.2132632834107393,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vsrev,isotonic,headline,age_group,40-59,2949,28.111146017655297,170.49175377467873,1893.323044804501,-3213.716093587628,2813.2939977182323,1390.421069764824,1893.2107208029563,1066.1478741496603,2984.9686775634773,3717.7682141693417,6301.767857142858,0.2206398428639076,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vsrev,isotonic,headline,age_group,60+,2940,318.88264871465515,436.5904798199762,1710.1196570556947,-2496.5257242063503,2852.7841608525805,1252.889396424608,1739.3103961240083,929.8521161939524,2717.658920888507,3428.3516044517346,6301.767857142858,0.1988155426900559,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vsrev,isotonic,headline,sex,male,4161,152.35326576210315,256.06221230158644,1818.4971585375372,-2793.617300556587,2942.096691176471,1338.1747304027322,1824.6502921615397,996.756423777566,2886.291666666664,3670.9630325814505,6301.767857142858,0.2123490996079699,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vsrev,isotonic,headline,sex,female,4485,-143.08139502647438,7.78185941043057,1834.0951547005427,-3236.198428100212,2498.1805572660096,1320.1632651825173,1839.4638587183356,990.2923460483707,2808.853478494622,3562.660937875152,6301.767857142858,0.2094909389094924,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vsrev,isotonic,headline,bmi_group,<25,2572,-287.67912067837574,-134.27354593837663,1949.3977883634675,-3539.1737330217343,2590.836462359099,1434.340861857991,1970.1354027830564,1099.5674472746257,3045.37069465972,3866.747699883109,6301.767857142858,0.2276092827240867,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vsrev,isotonic,headline,bmi_group,25-<30,2741,61.967216523014045,202.2448872180448,1876.8864423938203,-2951.696566998893,2955.065139949108,1376.8809511793231,1877.5669001892395,1029.9729272419636,2955.065139949108,3671.703607503608,6301.767857142858,0.2184912206213168,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vsrev,isotonic,headline,bmi_group,>=30,3246,181.55690387164807,248.9226607430396,1675.9954849665946,-2484.1319478264786,2714.8989421169103,1214.6290880264162,1685.5439520408747,907.88144201229,2623.0559955904905,3392.0465242608047,6301.767857142858,0.1927441815632214,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vsrev,isotonic,headline,bmi_group,missing,87,-310.95712562983005,-75.50571428571425,1332.6079174925285,-2347.0538736263734,1294.4579151952896,956.7344130383046,1360.9284321126745,733.0005830903783,1869.6341779326365,2931.9234147520797,6301.767857142858,0.1518200026923994,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vsrev,quantile,fullsample_robustness,overall,all,8646,0.992452913402302,52.844162499997765,1858.542601540572,-2977.941486291486,2930.317028985508,1341.453584405031,1858.435383520601,983.6908027210884,2956.438131774426,3728.660431480285,6301.767857142858,0.2128694066196892,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vsrev,quantile,fullsample_robustness,age_group,20-39,2757,-289.04042775612345,-282.77515527950436,1864.6696252624813,-3098.775510495794,2703.4015766973994,1384.4134222477187,1886.6043648401048,1057.9515925575488,2961.849122807018,3746.09787528928,6301.767857142858,0.2196865155352445,Full-sample source->target 5-fold OOF residual; aggregate row only.
