baseline_960_common_support_linear_h_per_target_iqr,baseline_960_full_range_h_per_target_iqr,baseline_960_grouped_oof_mae_per_target_iqr,common_support_linear_h_driver,common_support_linear_h_per_target_iqr,common_support_linear_h_reason,delta_vs_960_common_support_linear_h_per_target_iqr,delta_vs_960_full_range_h_per_target_iqr,delta_vs_960_grouped_oof_mae_per_target_iqr,full_range_h_driver,full_range_h_per_target_iqr,full_range_h_reason,grouped_oof_mae_per_target_iqr,n,source_algorithm,target_algorithm,target_iqr,wear_threshold
0.15679692233909623,0.1682585402826935,0.2021691064963148,age_group,0.1834866654272447,ESTIMATED,0.026689743088148477,0.043870237700340126,0.00455853936215575,age_group,0.21212877798303362,ESTIMATED,0.20672764585847056,9023,scrf,acti,5395.714285714286,600
0.3339168180758487,0.3739261169847734,0.3676121899104267,bmi_group,0.28267403670040275,ESTIMATED,-0.05124278137544597,-0.017127490600369277,0.0012189667214487776,age_group,0.3567986263844041,ESTIMATED,0.3688311566318755,9023,scrf,adept,1891.8838008096018,600
0.1438656266992281,0.1466154357240069,0.1755568787165475,age_group,0.13295964426063786,ESTIMATED,-0.010905982438590228,-0.0056756122378760765,-7.219904844679714e-05,age_group,0.14093982348613082,ESTIMATED,0.1754846796681007,9023,scrf,oak,6778.805357142856,600
0.2774458589834389,0.3630843224955557,0.2414620542604605,age_group,0.287199517019183,ESTIMATED,0.009753658035744128,0.006410812082594752,0.0006397890586975208,age_group,0.3694951345781505,ESTIMATED,0.24210184331915802,9023,scrf,scssl,5730.428571428571,600
0.18660186659413164,0.1779732677987209,0.2144677715844188,bmi_group,0.15507931677380243,ESTIMATED,-0.031522549820329204,-0.02289395102491848,0.0025064089756630936,bmi_group,0.15507931677380243,ESTIMATED,0.2169741805600819,9023,scrf,vs,5443.5,600
0.19803862672700512,0.1921481987700832,0.2108664659354425,age_group,0.19212701635572757,ESTIMATED,-0.005911610371277548,0.0029884754473382402,0.002473646041640215,age_group,0.19513667421742145,ESTIMATED,0.21334011197708272,9023,scrf,vsrev,6155.571428571429,600
0.257018681496285,0.3580950250086858,0.3057816664696054,age_group,0.23898594018151317,ESTIMATED,-0.01803274131477181,-0.03085048512876387,0.002295860985903231,age_group,0.3272445398799219,ESTIMATED,0.30807752745550865,9023,scssl,acti,5395.714285714286,600
0.2845138312471127,0.2857749249864063,0.3261274768662308,age_group,0.27303037623934273,ESTIMATED,-0.011483455007769983,-0.00939753243535385,0.0018884983647731168,bmi_group,0.2763773925510524,ESTIMATED,0.3280159752310039,9023,scssl,adept,1891.8838008096018,600
0.4255068616907496,0.4781670635345681,0.2984547963945307,age_group,0.40471179398244733,ESTIMATED,-0.02079506770830225,-0.033171224475813665,-0.001757493449539571,age_group,0.44499583905875445,ESTIMATED,0.29669730294499114,9023,scssl,oak,6778.805357142856,600
0.3680332640571019,0.3870405615201681,0.2443137604394309,age_group,0.3419476689324103,ESTIMATED,-0.026085595124691607,0.0064049169698803254,-0.0006512986505089191,age_group,0.3934454784900484,ESTIMATED,0.24366246178892198,9023,scssl,scrf,7354.357142857143,600
0.36026236359374664,0.3602623635937466,0.2971598849578598,age_group,0.3559509109236118,ESTIMATED,-0.00431145267013483,-0.021544858145868373,0.00019229196751663347,age_group,0.3387175054478782,ESTIMATED,0.2973521769253764,9023,scssl,vs,5443.5,600
0.5438429511529679,0.5456361085266256,0.3312596287524038,age_group,0.525505345257958,ESTIMATED,-0.01833760589500988,-0.020130763268667584,-8.564150872314436e-05,age_group,0.525505345257958,ESTIMATED,0.33117398724368063,9023,scssl,vsrev,6155.571428571429,600
0.142756434563666,0.1598935139044835,0.2023656693876001,age_group,0.15221172857569767,ESTIMATED,0.009455294012031684,0.030791286879080754,0.003395732111700328,age_group,0.19068480078356426,ESTIMATED,0.20576140149930042,9023,vs,acti,5395.714285714286,600
