analysis_weighting,baseline_960_observed_target_attainment_pct,delta_vs_960_observed_target_attainment_pct,n_source_directions_checked,observed_target_attainment_pct,target_algorithm,threshold_target_steps,wear_threshold
unweighted_primary,0.1966227157066851,0.0265362230485838,6,0.223158938755269,adept,10000.0,1296
WTMEC4YR_weighted_sensitivity,0.1567044574581063,-0.0107383517370752,6,0.145966105721031,adept,10000.0,1296
unweighted_primary,78.94980337728428,1.461800887530984,6,80.41160426481527,oak,7000.0,1296
WTMEC4YR_weighted_sensitivity,81.39859010675782,1.298195911341992,6,82.69678601809981,oak,7000.0,1296
unweighted_primary,72.60004626416841,1.64989174723749,6,74.2499380114059,oak,8000.0,1296
WTMEC4YR_weighted_sensitivity,75.17345254669901,1.6107082427127324,6,76.78416078941174,oak,8000.0,1296
unweighted_primary,57.841776544066626,1.67967150949152,6,59.521448053558146,oak,10000.0,1296
WTMEC4YR_weighted_sensitivity,60.1375871777248,1.8545002204000909,6,61.992087398124895,oak,10000.0,1296
unweighted_primary,74.77446217904233,1.1615655918478325,6,75.93602777089016,scrf,7000.0,1296
WTMEC4YR_weighted_sensitivity,77.23739157627551,1.0816115999971174,6,78.31900317627263,scrf,7000.0,1296
unweighted_primary,68.37844089752487,1.4579092140545953,6,69.83635011157946,scrf,8000.0,1296
WTMEC4YR_weighted_sensitivity,70.89566009975302,1.2496440836150953,6,72.14530418336811,scrf,8000.0,1296
unweighted_primary,53.7589636826278,1.7704189109749675,6,55.52938259360277,scrf,10000.0,1296
WTMEC4YR_weighted_sensitivity,56.31034009325487,1.927559801750988,6,58.23789989500586,scrf,10000.0,1296
unweighted_primary,62.13277816331251,1.1699741302654658,6,63.30275229357798,scssl,7000.0,1296
WTMEC4YR_weighted_sensitivity,64.62371084842717,0.9666332177234124,6,65.59034406615058,scssl,7000.0,1296
unweighted_primary,52.81054823039556,1.4046761683150777,6,54.21522439871064,scssl,8000.0,1296
WTMEC4YR_weighted_sensitivity,55.40049692293868,1.189850290893638,6,56.59034721383232,scssl,8000.0,1296
unweighted_primary,35.04510756419153,1.3793903281962727,6,36.424497892387805,scssl,10000.0,1296
WTMEC4YR_weighted_sensitivity,36.30783234769952,1.6664722678104766,6,37.97430461551,scssl,10000.0,1296
unweighted_primary,68.58662965533195,1.3365044879856924,6,69.92313414331764,vs,7000.0,1296
WTMEC4YR_weighted_sensitivity,70.72319292261237,0.9695825430287924,6,71.69277546564116,vs,7000.0,1296
unweighted_primary,58.74392782789729,1.694951418321402,6,60.43887924621869,vs,8000.0,1296
WTMEC4YR_weighted_sensitivity,60.29697333925708,1.5828963544393844,6,61.87986969369646,vs,8000.0,1296
unweighted_primary,39.28984501503586,1.820990591212592,6,41.11083560624845,vs,10000.0,1296
WTMEC4YR_weighted_sensitivity,39.62514592793926,1.7795194275857469,6,41.404665355525005,vs,10000.0,1296
unweighted_primary,59.900532037936614,1.6169487455992169,6,61.51748078353583,vsrev,7000.0,1296
WTMEC4YR_weighted_sensitivity,62.40355686108578,1.6193559434240186,6,64.0229128045098,vsrev,7000.0,1296
unweighted_primary,51.3763590099468,1.450320880953278,6,52.826679890900074,vsrev,8000.0,1296
WTMEC4YR_weighted_sensitivity,53.33706868189915,1.4132278900787083,6,54.750296571977856,vsrev,8000.0,1296
unweighted_primary,34.605597964376585,1.5585478327967337,6,36.16414579717332,vsrev,10000.0,1296
WTMEC4YR_weighted_sensitivity,35.26419613458566,1.800946938306545,6,37.065143072892205,vsrev,10000.0,1296
