exposure,source_algorithm,target_algorithm,method,group_type,group_level,source_input,predicted_target_full_sample,predicted_target_subgroup,subgroup_minus_full,subgroup_minus_full_over_target_iqr,target_iqr
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,5454.949972321798,14989.912987012987,14906.36636328278,-83.54662373020801,-0.0132576485875325,6301.767857142858
daily_steps,oak,acti,isotonic,age_group,20-39,3101.1232142857143,5683.835897435897,4924.495238095238,-759.3406593406589,-0.1385131250791058,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,3277.159660714286,5683.835897435897,4924.495238095238,-759.3406593406589,-0.1385131250791058,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,3453.1961071428573,5814.477843915344,4991.242642879306,-823.2352010360382,-0.1501682795040103,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,3629.232553571429,5848.575515873015,5234.105612244899,-614.4699036281163,-0.1120869079926404,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,3805.269,6147.300793650793,5234.105612244899,-913.195181405894,-0.1665780922274636,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,3981.305446428572,6291.789353099729,5234.105612244899,-1057.68374085483,-0.1929345919898077,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,4157.341892857144,6291.789353099729,5263.877189842501,-1027.9121632572278,-0.187503888127381,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,4333.378339285715,6668.609808709809,6171.426587301588,-497.18322140822056,-0.0906923669726138,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,4509.414785714287,6668.609808709809,6171.426587301588,-497.18322140822056,-0.0906923669726138,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,4685.451232142858,6668.609808709809,6171.426587301588,-497.18322140822056,-0.0906923669726138,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,4861.48767857143,6763.817839889582,6171.426587301588,-592.3912525879932,-0.1080594890529593,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,5037.524125000002,7260.030952380953,6832.525714285714,-427.5052380952393,-0.0779822412876925,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,5213.560571428573,7331.861498257841,6832.525714285714,-499.3357839721275,-0.0910850209994823,5482.084523809524
