absolute_change,analysis_weighting,baseline_960,current,degenerate_status_changed_n,maximum,maximum_absolute_change_vs_960,median,median_absolute_change_vs_960,metric,minimum,n_comparable_nondegenerate,na_n,q25,q75,rank,section,source_algorithm,spearman_vs_960,target_algorithm,target_steps,wear_threshold
0.09993850360719314,,0.5021847747843555,0.4022462711771624,,,,,,complete-sample P05-P95 H,,,,,,1,continuous_largest_absolute_change,vsrev,,adept,,1296
0.08459174714557421,,0.4375086577904454,0.5221004049360196,,,,,,complete-sample P05-P95 H,,,,,,2,continuous_largest_absolute_change,adept,,scrf,,1296
0.06520799994870619,,0.3104461498615042,0.3756541498102104,,,,,,complete-sample P05-P95 H,,,,,,3,continuous_largest_absolute_change,acti,,scrf,,1296
0.06122579027590486,,0.2811618554498685,0.34238764572577335,,,,,,complete-sample P05-P95 H,,,,,,4,continuous_largest_absolute_change,adept,,acti,,1296
0.05928840764389576,,0.3895679176326959,0.44885632527659164,,,,,,complete-sample P05-P95 H,,,,,,5,continuous_largest_absolute_change,vs,,adept,,1296
,,,,,0.525505345257958,0.08324313365677771,0.27386240051675825,0.016865610573447626,common-support H (101-point equally spaced grid),0.12348093110490442,,0,0.21343968372817468,0.3415369999984783,,continuous_summary,,0.9589984604164979,,,600
0.08324313365677771,,0.49079861914083606,0.40755548548405834,,,,,,common-support H (101-point equally spaced grid),,,,,,1,continuous_largest_absolute_change,adept,,vsrev,,600
0.05988730124655661,,0.21480712354761716,0.2746944247941738,,,,,,common-support H (101-point equally spaced grid),,,,,,2,continuous_largest_absolute_change,vsrev,,scrf,,600
0.05192132618716894,,0.29527753949702384,0.2433562133098549,,,,,,common-support H (101-point equally spaced grid),,,,,,3,continuous_largest_absolute_change,adept,,vs,,600
0.05124278137544597,,0.3339168180758487,0.28267403670040275,,,,,,common-support H (101-point equally spaced grid),,,,,,4,continuous_largest_absolute_change,scrf,,adept,,600
0.048058047936051784,,0.3302687017702774,0.3783267497063292,,,,,,common-support H (101-point equally spaced grid),,,,,,5,continuous_largest_absolute_change,acti,,adept,,600
,,,,,0.5073069992590694,0.08509246218016753,0.2633321706772044,0.012711292872478103,common-support H (101-point equally spaced grid),0.11622070363556014,,0,0.2065187281791729,0.34024154902790976,,continuous_summary,,0.9675877157442672,,,720
0.08509246218016753,,0.49079861914083606,0.40570615696066853,,,,,,common-support H (101-point equally spaced grid),,,,,,1,continuous_largest_absolute_change,adept,,vsrev,,720
0.06167852631257348,,0.21480712354761716,0.27648564986019064,,,,,,common-support H (101-point equally spaced grid),,,,,,2,continuous_largest_absolute_change,vsrev,,scrf,,720
0.060072152474395984,,0.29527753949702384,0.23520538702262786,,,,,,common-support H (101-point equally spaced grid),,,,,,3,continuous_largest_absolute_change,adept,,vs,,720
0.04906020734117067,,0.3302687017702774,0.37932890911144806,,,,,,common-support H (101-point equally spaced grid),,,,,,4,continuous_largest_absolute_change,acti,,adept,,720
0.036535951893898466,,0.5438429511529679,0.5073069992590694,,,,,,common-support H (101-point equally spaced grid),,,,,,5,continuous_largest_absolute_change,scssl,,vsrev,,720
,,,,,0.562869029112494,0.16442978109769152,0.2632182708340495,0.013577966086268364,common-support H (101-point equally spaced grid),0.12428822364200919,,0,0.19505630475667896,0.358355527587072,,continuous_summary,,0.9483024066121061,,,1296
0.16442978109769152,,0.3576706238383281,0.5221004049360196,,,,,,common-support H (101-point equally spaced grid),,,,,,1,continuous_largest_absolute_change,adept,,scrf,,1296
0.13542094015342532,,0.29527753949702384,0.43069847965044916,,,,,,common-support H (101-point equally spaced grid),,,,,,2,continuous_largest_absolute_change,adept,,vs,,1296
0.10729603888329964,,0.3661914629164892,0.4734875017997888,,,,,,common-support H (101-point equally spaced grid),,,,,,3,continuous_largest_absolute_change,adept,,oak,,1296
0.07207040997165798,,0.49079861914083606,0.562869029112494,,,,,,common-support H (101-point equally spaced grid),,,,,,4,continuous_largest_absolute_change,adept,,vsrev,,1296
